H2,O2,O,OH,H2O,H,HO2,CO,CO2,HCO,Temperature
1.30568e-20,2.73701,1.07249e-35,6.24597e-36,4.78358e-40,4.47661e-42,1.78393e-38,1.40576e-44,8.00606e-49,2.50962e-86,503.294
2.15659e-17,2.73701,2.88466e-27,2.38621e-27,1.67985e-29,1.08256e-37,1.3535e-30,2.09876e-32,1.40543e-34,9.67022e-70,501.78
1.2184e-66,2.73701,3.25065e-43,2.49735e-71,5.52578e-101,2.41056e-68,8.13774e-66,9.40314e-107,4.28021e-112,1.21456e-174,498.838
4.35825e-48,2.73701,1.4368e-42,4.5007e-72,1.37454e-91,2.01356e-69,2.39628e-66,7.10076e-100,1.86199e-108,5.92493e-169,501.037
0.403098,1.65229,0.461471,0.646938,1.4703,0.294539,2.8243,0.945556,0.932035,0.123187,978.052
0.283339,2.11535,0.0421618,0.121252,0.859719,0.0202346,3.86418,0.527876,0.563491,0.00454304,795.406
0.406921,1.50982,0.548585,0.659189,1.62498,0.311474,2.37658,1.05282,1.08843,0.154042,1017.88
8.02583e-57,2.73701,8.02325e-43,2.87258e-80,1.33029e-98,8.5408e-78,3.6613e-75,4.70791e-106,1.68754e-113,2.03195e-183,505.068
1.82132,0.486437,0.801578,0.740575,2.07612,1.63838,0.957137,2.33235,1.59676,1.85389,1128.4
9.28322e-05,2.73694,2.33964e-05,3.28025e-05,0.000148414,6.21841e-10,0.000336372,2.84252e-05,8.00177e-05,7.12661e-15,500.701
1.00432e-68,2.73701,1.25489e-42,8.04034e-93,2.10538e-127,5.83072e-90,3.87751e-87,5.93772e-138,1.03117e-146,1.65896e-227,504.006
1.145e-88,2.73701,2.50013e-43,7.19316e-86,1.5423e-127,2.45916e-82,2.19642e-80,8.58761e-134,1.29246e-139,1.9916e-214,504.318
3.3498,0.292093,0.260776,0.225895,1.44257,1.07203,0.878237,2.99316,1.24312,2.79773,977.484
1.03442e-17,2.73701,2.66883e-28,2.09727e-28,7.50839e-31,2.55213e-38,3.42055e-32,5.28012e-34,1.65932e-36,5.66347e-72,500.181
1.15422,0.0140186,0.437489,1.11354,2.66535,3.76927,0.0157324,2.23531,2.79533,1.99491,1498.18
0.894453,1.62001,0.213069,0.631811,1.02017,0.271124,3.90131,1.12456,0.846735,0.152501,875.454
2.2806e-88,2.73701,1.5307e-43,1.59293e-82,1.51063e-126,1.23249e-78,5.26142e-77,6.16493e-133,7.18865e-139,1.00127e-199,504.255
4.15182e-32,2.73701,1.56695e-42,2.58488e-55,1.34603e-61,1.9352e-53,3.03632e-50,1.20069e-67,1.31237e-73,9.23735e-121,505.46
9.45614e-31,2.73701,2.13163e-42,2.14081e-54,5.93533e-62,3.87566e-52,1.00984e-48,1.24257e-68,1.82237e-75,1.91616e-120,503.881
0.104534,1.52361,1.15264,0.842747,1.77888,0.284883,1.28668,0.755056,1.45417,0.0857801,1168.53
3.58822,0.259034,0.15605,0.175209,1.19033,0.910615,0.967461,3.25012,0.983652,3.18883,902.884
0.306564,1.97483,0.0941433,0.212992,0.825536,0.0273777,3.46755,0.694229,0.663281,0.00885066,804.45
3.98757e-51,2.73701,1.51288e-42,3.7174e-75,4.07119e-97,2.00742e-72,2.05993e-69,9.83884e-106,1.15627e-114,7.91303e-178,503.401
0.295182,2.23537,0.00395884,0.00573229,0.618538,0.000470929,2.85633,0.464119,0.415585,9.25623e-05,718.82
1.21016e-59,2.73701,1.26296e-42,1.06709e-83,1.34489e-110,5.86655e-81,5.16051e-78,7.22174e-120,1.55886e-129,1.90774e-200,500.414
0.417073,1.98904,0.0303209,0.0962461,0.850551,0.0373728,4.17481,0.701994,0.614967,0.0117587,814.66
3.55368e-22,2.73701,1.66295e-37,9.69232e-38,7.80487e-42,1.84521e-43,3.78982e-40,2.46639e-46,1.56427e-50,1.836e-89,505.037
8.03422e-25,2.73701,2.22051e-42,1.57062e-43,1.27374e-48,2.86217e-46,8.96489e-43,6.74003e-54,5.09552e-59,7.72525e-100,503.16
2.44218e-246,2.73701,1.81189e-43,1.27791e-217,0,1.45009e-213,4.39297e-212,0,0,0,503.04
8.70854e-71,2.73701,1.16566e-42,6.39334e-95,8.15985e-130,5.25925e-92,3.07965e-89,2.45183e-140,2.90518e-151,5.69904e-232,502.013
0.563523,0.172665,3.13567,4.51648,2.5755,3.74012,0.118995,1.2904,3.74127,0.827114,1673.68
2.15337e-10,2.73701,4.82838e-17,4.66898e-17,1.71984e-18,3.44903e-28,7.96893e-20,6.33848e-21,1.20494e-22,8.79574e-49,504.454
