sfr_eff,uox_eff,bias,lwr_fr,fr_fr,fr_start,excess,max_excess,waste_U,waste_Np,waste_Pu,waste_Am,waste_Cm
0.999,0.999,-0.0056666236358382804,1,13,30,-1015390.6587311582,310.0558000524288,1563707901.515839,140311.96366143666,10221.425510479297,128267.7895173708,27351.482454364137
0.9,0.99,-0.04887881745697831,3,10,34,-1691707.3253978244,0.0,1884889931.3379679,166107.17080469508,328908.5766062735,98665.35604367188,32379.828841760598
0.99,0.9,0.05807587948456075,3,14,27,101426.00793550888,2177.792266355653,2149081054.76962,185288.22226608702,393819.60366551665,109357.36842313698,36118.85564184472
0.9,0.999,0.08213812553433855,2,10,38,486109.3412688418,9073.4484072497,2014617239.597339,178178.00492116285,484810.2756603713,120576.01854680062,34732.837088033644
0.999,0.9,-0.0177993690531634,4,13,23,-1164040.658731158,300.0,2054844415.6446366,177167.50890551053,347969.068926807,97584.2907192428,34535.85770494275
0.9,0.999,-0.08188952663788872,1,12,23,-2280473.9920644914,0.0,1424333171.2804112,129361.8614822467,699957.679411222,118882.98978347256,25216.942249721968
0.99,0.9,0.03768181496127007,4,12,38,-233890.658731158,1000.0,2177113843.6922736,187309.21427891142,389839.37921560026,103105.23409996396,36512.81440442435
0.99,0.999,-0.09247209665550855,2,13,23,-2430440.6587311574,0.0,1703261160.7770462,149810.6261224159,42793.945259222164,100810.12985930782,29203.08863862535
0.9,0.99,0.09295083758055334,4,13,31,679542.6746021758,12673.862389569287,2277053463.0785365,197065.09391120914,296365.0937678569,108565.23331261112,38414.56079601177
0.9,0.99,-0.013102754689442067,2,10,27,-1115673.992064491,300.0,1851191443.2617652,162120.3047439535,473301.5528431322,110012.73677786185,31602.65564666982
0.9,0.9,0.07770306671041893,4,13,35,429792.6746021753,7680.584042061411,2254310900.3945346,194437.8042876591,632347.5548708251,106996.75886574456,37902.41440331733
0.99,0.9,0.03678696409692009,3,12,29,-243257.3253978246,1000.0,2112860997.1164675,181448.33744175508,386105.2076443871,107497.36050379238,35370.33399294994
0.9,0.9,-0.05261161901004355,2,12,37,-1756057.3253978249,0.0,1794242572.2249837,156645.25364821212,719315.615578135,105147.1138497404,30535.38554315064
0.9,0.9,-0.011014356988312685,3,10,28,-1064390.6587311581,300.0,2004849426.4496052,172519.22727608483,646836.885022024,102656.81868890364,33629.752551023426
0.9,0.999,-0.04042646500733125,3,11,21,-1542773.992064491,0.0,1911413728.107645,167723.9644184359,303152.475427528,99655.04530305688,32694.99585250309
0.9,0.99,0.0453000845047786,4,13,24,-100457.3253978247,1000.0,2161799244.538815,188687.16338509615,283279.64161580073,103906.69901576094,36781.422652910864
0.99,0.9,-0.03503725335187424,3,11,20,-1467173.9920644916,0.0,1946443899.615195,168477.24325042288,358838.9995719363,100115.42741940946,32841.83502586165
0.999,0.99,-0.0487836895337487,3,10,24,-1690657.3253978244,0.0,1894795539.159854,165978.56222251145,35371.82152952474,98814.72921361837,32354.758738775385
0.99,0.99,0.010857604488746203,4,14,26,-682090.6587311579,1000.0,2088945867.7685518,182550.69672765225,59385.88231078608,100451.67084822379,35585.22059192456
0.99,0.99,0.08229930559482285,3,12,38,503492.6746021753,9207.195722902601,2167824095.1634026,189495.5601900849,70186.59691276013,112012.75271343793,36939.00615791521
0.9,0.999,0.0876632520316579,4,10,34,594309.3412688422,11147.25070872804,2256748439.298371,195815.7533973478,265198.85272476217,108349.70943763138,38171.022652486645
0.999,0.999,-0.07038945308552998,4,12,21,-2039107.3253978244,0.0,1911069362.7977402,167742.33707322358,5480.611173586422,92521.9654443644,32698.577295823583
0.99,0.999,-0.06964301371374981,1,11,29,-2075007.3253978244,0.0,1462354605.3661718,131290.9902221993,73081.90099666674,120467.44017181433,25592.993795906215
0.99,0.9,0.0937589827949312,2,14,21,677192.6746021754,12923.862389569287,2100577254.6435945,180548.07736328928,400203.41171017144,121403.90097712922,35194.8432714324
